codigo,nombre,precio,cantidad_bulto,vendor,proveedor,category,tags,imagen
DCH-AMT382,BALSAMO LABIAL MT-1125C,0.47,1008,LAMB,DCH,Cosmetico,"balsamo, labial, personaje, tango",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMT382.jpg
DCH-AMT3819,RUBOR LIQUIDO SH240603 MINI,0.63,576,LAMB,DCH,Cosmetico,"rubor, liquido, tango",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMT3819.jpg
DCH-AMT3820,ACEITE LABIAL LP240604 MINI,0.63,576,LAMB,DCH,Cosmetico,"aceite, labial, tango",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMT3820.jpg
DCH-AMT3821,ILUMINADOR LIQUIDO HL240605,0.63,576,LAMB,DCH,Cosmetico,"iluminador, liquido, tango",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMT3821.jpg
DCH-AMT3822,TINTE LABIAL BARBIE MT1117,0.4,1440,LAMB,DCH,Cosmetico,"tinte, labial, barbie, tango",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMT3822.jpg
DCH-A0770223,SERUM ACIDO HIALURONICO,1.45,144,LAMB,DCH,Cosmetico,"serum, acido, hialuronico, premaquillaje",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-A0770223.jpg
DCH-A0770224,PREMAQUILLAJE CON,1.45,144,LAMB,DCH,Cosmetico,premaquillaje,https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-A0770224.jpg
DCH-A353019,PREBASE DE MAQUILLAJE,0.32,1152,LAMB,DCH,Cosmetico,"prebase, maquillaje",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-A353019.jpg
DCH-AYS25207,PORTA COSMETICO HZJ-625,18.5,20,LAMB,DCH,General,"porta, cosmetico, espejo",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS25207.jpg
DCH-A9301,HUMIFICADOR ANTIGRAVEDAD,11.0,24,LAMB,DCH,General,"humificador, antigravedad, regargable",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-A9301.jpg
DCH-C1200,CEPILLO CON GLITTER DE,1.1,360,LAMB,DCH,General,"cepillo, glitter, capybara",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-C1200.jpg
DCH-AYS2581,MUSCULAR TONIFICADOR,2.0,200,LAMB,DCH,General,"muscular, tonificador",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS2581.jpg
DCH-AYS2582,ELECTROESTIMULADOR,3.85,200,LAMB,DCH,General,"electroestimulador, muscular, tonificador",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS2582.jpg
DCH-CYS25266,CALOR LT3002 ALIVIA,2.25,100,LAMB,DCH,General,"calor, alivia",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CYS25266.jpg
DCH-AYS2548,ALIVIA MIGRAÑA OJERA,3.0,80,LAMB,DCH,General,"alivia, migra, ojera",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS2548.jpg
DCH-AYS25154,ANTIFAZ PARA DORMIR,2.7,300,LAMB,DCH,General,"antifaz, dormir, reversible",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS25154.jpg
DCH-A12701,861 FAJA REDUCTORA,2.5,100,LAMB,DCH,General,reductora,https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-A12701.jpg
DCH-A12702,FAJA REDUCTORA HOT,2.7,100,LAMB,DCH,General,"reductora, shaper",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-A12702.jpg
DCH-A12705,FAJA REDUCTORA ABDOMEN,2.5,200,LAMB,DCH,General,"reductora, abdomen",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-A12705.jpg
DCH-A19609,COLOR NEGRO 140 Y BEIGE 60,2.9,200,LAMB,DCH,General,"color, negro, beige, chica, mediana, grande",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-A19609.jpg
